permit,long_name
40919,40919 - Rover Group - Lode Lane Landfill Site
41005,41005 - Staffordshire C C - Crackley Gates Landfill Site
41011,41011 - Lichfield D C  Christian Fields Landfill Site
41013,41013 - Dudley Zoo - The Bearpit
41020,41020 - Staffordshire C C  Bemersley Landfill Site
41021,41021 - S T W - Ray Hall Reclamation Works
41108,41108 - R M Douglas - Stubbers Green Road Landfill Site
41112,41112 - Brindley Asphalt - Pennymore Hay Farm Landfill Site
41205,41205 - S T W - Foxyards Landfill Site
41302,41302 - Holmes - Brookside Farm Landfill Site
41406,41406 - Staffordshire C C - Hopton Railway Cutting
41420,41420 - Corus - Shelton Steelworks
41421,41421 - N & H Transport - Blackflatts Farm
41517,41517 - Challinor - Within Lane Landfill Site
41520,41520 - City Of Stoke On Trent - Newford Valley
41601,41601 - N & H - Colton Hall Farm Landfill Site
